,adjective_count,adverb_count,average_word_length,long_word_count,noun_count,sentences_count,spelling_error_count,verb_count,vocab_count,word_count,word_to_sentence_ratio
0,28,11,5.58,45,71,16,16,38,29.482658959537574,168,10.19
1,23,10,5.67,62,96,20,23,54,20.220088626292466,226,10.8
2,17,2,6.05,51,72,14,4,36,15.28643216080402,139,9.43
3,41,13,6.23,79,123,27,41,56,30.737704918032787,301,9.63
4,25,13,5.94,69,113,30,20,46,20.258941344778254,226,7.4
5,18,9,5.59,27,41,15,13,26,53.16504854368932,110,6.73
6,31,26,5.88,77,118,30,17,53,24.001242236024844,260,8.4
7,2,3,6.15,6,13,4,3,8,13.333333333333334,27,6.5
8,36,17,5.71,63,107,35,15,43,54.14364640883978,221,6.17
9,40,20,5.43,46,104,26,23,51,27.41515650741351,233,8.69
10,27,17,6.38,64,83,22,19,36,98.78421052631579,184,7.95
11,36,16,5.84,48,88,25,39,42,11.515646258503402,199,7.64
12,20,7,5.12,15,41,6,25,19,35.25174825174825,99,16.33
13,39,9,5.37,40,83,25,40,28,14.508032128514056,171,6.84
14,15,5,5.85,25,53,13,15,17,20.231578947368423,97,7.38
15,47,17,6.17,80,145,35,34,68,30.94560669456067,308,8.46
16,24,5,5.73,38,74,18,15,32,11.88477366255144,144,7.89
17,25,20,5.51,44,73,15,15,40,31.65070422535211,172,11.27
18,13,2,5.5,0,22,7,34,4,103.14285714285714,42,6.0
19,15,5,5.87,24,44,11,10,17,24.82758620689655,89,7.73
20,28,25,6.03,54,79,20,19,34,40.24277456647399,182,8.9
21,3,0,5.8,5,18,2,2,6,12.6,31,15.0
22,29,13,5.74,72,111,30,27,59,26.440060698027313,261,7.97
23,46,23,5.91,85,125,39,31,68,27.146892655367232,303,7.28
24,19,11,6.15,58,70,16,5,34,12.222477064220184,148,8.94
25,23,8,6.0,53,79,22,14,42,24.930939226519335,179,7.32
26,8,2,5.53,10,30,7,9,10,16.40506329113924,60,7.86
27,33,10,5.72,59,91,28,21,47,25.197508896797153,204,7.25
28,27,12,6.13,45,81,23,18,32,21.6039119804401,172,7.09
29,22,11,5.76,40,59,15,8,35,14.739766081871345,137,9.0
30,37,22,5.74,68,94,34,16,57,58.88859416445624,244,6.65
31,39,20,5.83,76,104,36,14,56,29.102106969205835,259,6.53
32,15,4,5.56,21,41,12,8,19,27.30252100840336,91,7.17
33,28,8,5.42,45,82,26,27,54,18.77777777777778,187,7.0
34,38,16,5.82,59,83,33,11,51,14.138562091503267,208,6.21
35,51,18,5.88,67,94,24,11,46,43.75,251,9.25
36,45,18,5.64,57,101,31,34,60,40.28445229681979,255,7.97
37,27,12,5.89,60,82,17,13,37,24.941320293398533,169,9.88
38,48,19,5.6,57,110,22,16,49,29.69031141868512,240,10.68
39,15,0,5.93,29,51,15,7,18,36.73913043478261,92,5.87
40,2,0,5.76,5,13,3,1,6,8.653846153846153,21,7.0
41,25,13,5.42,28,56,14,17,22,17.307692307692307,132,9.14
42,8,3,5.9,27,39,8,4,15,20.945454545454545,70,8.5
43,21,7,5.17,31,87,28,6,35,2.6806930693069306,170,5.68
44,18,9,5.43,32,78,20,14,32,26.910299003322258,156,7.25
45,23,7,5.96,41,72,11,9,34,5.570359281437126,146,13.18
46,26,10,5.39,38,81,18,24,29,28.84084084084084,162,8.94
47,32,26,5.41,52,118,33,18,43,24.43758765778401,247,7.24
48,19,8,6.31,52,82,27,13,30,10.031347962382446,154,5.7
49,6,4,5.88,13,23,4,7,5,31.837209302325583,48,12.0
50,35,24,5.03,45,88,13,19,56,24.652173913043477,244,18.15
51,26,9,5.84,30,54,15,17,26,34.65979381443299,126,8.13
52,22,9,5.55,48,85,27,13,44,18.847826086956523,175,6.3
53,34,13,5.87,64,106,30,25,43,42.477722772277225,213,6.9
54,19,13,6.13,32,49,11,14,18,11.888178913738018,112,10.0
55,39,16,7.12,127,126,22,16,40,52.50790513833992,242,10.86
56,29,4,6.5,64,74,23,18,27,34.98062015503876,155,6.48
57,11,9,5.75,29,44,14,9,22,16.038793103448278,94,6.5
58,44,11,5.9,66,92,22,16,48,18.419970631424377,227,9.59
59,7,0,6.33,14,23,6,3,4,20.63157894736842,37,6.0
60,24,9,5.75,56,72,23,10,47,14.222440944881889,159,6.91
61,27,3,5.36,33,73,14,17,41,6.870728083209509,153,10.64
62,21,3,6.02,38,60,17,6,27,12.725903614457831,128,7.12
63,14,8,5.43,23,47,6,10,21,7.6923076923076925,105,16.5
64,23,20,5.98,57,88,24,29,39,28.074245939675173,194,7.79
65,21,29,6.1,65,79,25,18,52,35.19023136246787,192,7.68
66,27,14,5.78,43,78,20,13,32,15.75,160,7.9
67,30,20,5.96,57,102,33,26,30,35.592592592592595,200,5.94
68,16,8,5.57,27,48,18,4,30,36.75167785234899,111,5.94
69,34,9,6.56,88,104,28,12,28,41.555851063829785,217,6.75
70,17,10,5.7,55,102,21,15,54,14.285714285714286,215,9.67
71,48,21,6.49,117,125,25,26,55,22.700745473908412,287,11.08
72,34,15,5.78,45,73,21,18,25,31.938172043010752,197,7.86
73,22,20,5.31,36,79,29,10,45,10.792937399678973,173,5.97
74,37,13,6.11,68,91,21,8,39,24.42105263157895,198,9.38
75,21,11,6.36,43,75,19,23,28,11.40973630831643,167,7.68
76,47,9,5.95,85,139,47,30,54,14.028125,293,5.96
77,32,26,5.59,69,108,33,18,42,9.20920138888889,240,6.76
78,19,6,6.01,53,88,18,5,20,9.578102189781022,162,8.44
79,45,20,5.87,69,89,21,29,41,23.86277602523659,228,9.95
80,40,4,5.7,38,79,16,28,40,15.90126050420168,170,10.44
81,15,10,6.46,61,69,23,15,32,19.260416666666668,147,6.26
82,16,5,6.13,29,39,9,11,17,45.010989010989015,85,9.44
83,12,6,4.98,13,43,11,10,17,5.919014084507042,92,7.73
84,52,27,5.97,85,99,31,34,61,12.38663282571912,259,8.29
85,50,11,6.48,83,124,28,28,43,16.838643371017472,247,8.54
86,33,24,5.79,48,79,39,27,46,46.17486338797814,221,5.18
87,21,15,5.74,43,85,19,16,29,30.212290502793294,174,8.95
88,10,5,5.98,35,57,29,10,27,4.853211009174312,104,3.59
89,17,4,5.85,35,56,9,7,20,11.239766081871345,105,11.11
90,16,15,5.7,23,52,15,21,28,14.03654485049834,124,8.0
91,50,18,5.76,84,140,51,34,57,21.8504753673293,321,5.8
92,50,23,6.64,112,139,22,36,49,69.10760667903526,292,12.64
93,22,9,5.58,39,69,25,14,40,17.107991360691145,158,6.16
94,23,22,5.35,53,83,36,17,54,25.36006289308176,241,6.03
95,12,10,5.91,38,60,15,12,24,29.357798165137616,127,8.0
96,21,11,6.03,42,73,21,23,30,57.45812807881774,159,7.1
97,36,17,5.91,55,91,34,33,49,41.52433628318584,222,6.21
98,22,7,5.47,32,75,20,19,32,57.96022727272727,178,7.45
99,25,3,4.95,28,51,17,11,31,15.501779359430605,131,6.88
100,36,23,5.73,65,108,40,21,59,38.50732600732601,249,5.97
101,23,14,5.91,49,70,26,6,31,14.170626349892009,149,5.69
102,25,14,5.8,62,80,18,6,24,29.940119760479043,180,9.0
103,30,14,6.13,63,103,21,25,40,15.656549520766774,197,9.29
104,37,14,5.31,58,112,34,16,67,18.471251409244644,275,7.38
105,35,12,6.54,77,81,30,19,40,45.33582089552239,184,5.97
106,53,16,6.15,104,162,52,25,71,19.355687606112053,329,6.13
107,24,16,5.37,35,89,21,25,36,29.583979328165373,186,8.57
108,21,18,5.46,37,76,24,4,31,13.671910112359551,158,6.29
109,25,6,5.59,31,63,13,13,24,19.95880149812734,126,9.54
110,6,4,6.57,6,6,3,4,4,19.058823529411764,25,7.67
111,29,12,5.76,54,96,29,19,48,45.22332506203474,215,6.97
112,25,6,5.82,36,72,28,20,39,28.35737704918033,164,5.5
113,30,15,6.23,67,90,24,19,48,20.976588628762542,203,8.25
114,39,23,4.96,39,90,29,29,47,24.360065466448447,255,7.9
115,3,1,6.48,9,15,4,2,10,22.041666666666668,29,7.25
116,33,19,5.69,42,62,25,16,36,20.71611253196931,162,6.36
117,39,13,6.15,67,96,28,14,40,38.85057471264368,247,7.32
118,49,13,5.26,40,89,37,31,58,80.25688073394495,243,6.24
119,28,13,5.58,44,82,20,21,34,25.52908587257618,171,8.35
120,33,18,4.88,10,62,17,42,39,34.77917981072555,196,9.88
121,41,8,5.96,84,145,29,17,49,12.465661641541038,278,9.31
122,30,19,5.89,64,98,29,14,39,21.489795918367346,211,7.1
123,17,9,5.56,30,52,9,11,27,13.530909090909091,115,12.44
124,11,4,5.38,21,37,1,8,24,7.863481228668942,87,87.0
125,22,6,5.83,32,67,10,15,27,28.454887218045112,129,12.7
126,42,10,6.17,70,88,23,6,45,25.941048034934497,193,8.39
127,2,1,7.21,12,9,3,0,6,108.0,20,6.33
128,23,22,5.16,35,87,26,20,47,19.61743772241993,204,7.58
129,55,16,6.15,125,149,39,26,59,14.032916392363397,319,8.08
130,32,11,5.77,61,100,24,11,44,28.34622144112478,228,8.58
131,36,19,6.53,89,100,25,24,50,38.20662768031189,249,9.0
132,48,17,5.45,56,106,44,26,60,33.08899676375405,265,5.7
133,31,16,5.95,62,91,24,22,44,21.007339449541284,201,8.17
134,17,9,5.74,33,67,11,19,35,29.779411764705884,144,12.36
135,33,15,5.37,50,122,41,38,52,42.996466431095406,266,6.05
136,15,8,5.58,21,69,8,12,20,23.457013574660632,119,14.62
137,2,1,6.38,8,13,3,1,4,7.2592592592592595,23,7.0
138,7,6,5.78,25,47,12,7,14,14.778409090909092,78,6.42
139,34,14,5.85,43,79,30,31,49,20.740942028985508,199,6.43
140,43,24,5.78,81,121,33,24,59,38.32335329341317,297,8.3
